severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MAJOR	2023-03-06T01:18:10+0000		23.0		python:S1172	API-Development-and-Documentation---Exercises	5min		"Remove the unused function parameter ""test_config""."	2023-03-06T01:18:10+0000	CODE_SMELL	false	"unused / "	API-Development-and-Documentation---Exercises:cd0037-API-Development-and-Documentation-exercises-master/1_Requests_Review/backend/flaskr/__init__.py		MAIN	{startLine=23.0, endLine=23.0, startOffset=15.0, endOffset=31.0}	5min	AYa0f7dz1m6JgciZ22j1	bb6a614ed54b43ec66db9e8cca85678b	OPEN
CRITICAL	2023-03-06T01:18:10+0000		73.0		python:S5754	API-Development-and-Documentation---Exercises	5min		Specify an exception class to catch or reraise the exception	2023-03-06T01:18:10+0000	CODE_SMELL	false	"bad-practice / error-handling / suspicious / "	API-Development-and-Documentation---Exercises:cd0037-API-Development-and-Documentation-exercises-master/1_Requests_Review/backend/flaskr/__init__.py		MAIN	{startLine=73.0, endLine=73.0, startOffset=8.0, endOffset=14.0}	5min	AYa0f7dz1m6JgciZ22j4	3e264f5fbab10735799511f21ca70842	OPEN
CRITICAL	2023-03-06T01:18:10+0000		97.0		python:S5754	API-Development-and-Documentation---Exercises	5min		Specify an exception class to catch or reraise the exception	2023-03-06T01:18:10+0000	CODE_SMELL	false	"bad-practice / error-handling / suspicious / "	API-Development-and-Documentation---Exercises:cd0037-API-Development-and-Documentation-exercises-master/1_Requests_Review/backend/flaskr/__init__.py		MAIN	{startLine=97.0, endLine=97.0, startOffset=8.0, endOffset=14.0}	5min	AYa0f7dz1m6JgciZ22j5	3e264f5fbab10735799511f21ca70842	OPEN
CRITICAL	2023-03-06T01:18:10+0000		124.0		python:S5754	API-Development-and-Documentation---Exercises	5min		Specify an exception class to catch or reraise the exception	2023-03-06T01:18:10+0000	CODE_SMELL	false	"bad-practice / error-handling / suspicious / "	API-Development-and-Documentation---Exercises:cd0037-API-Development-and-Documentation-exercises-master/1_Requests_Review/backend/flaskr/__init__.py		MAIN	{startLine=124.0, endLine=124.0, startOffset=8.0, endOffset=14.0}	5min	AYa0f7dz1m6JgciZ22j6	3e264f5fbab10735799511f21ca70842	OPEN
INFO	2023-03-06T01:18:10+0000		21.0		javascript:S1135	API-Development-and-Documentation---Exercises	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T01:18:10+0000	CODE_SMELL	false	"cwe / "	API-Development-and-Documentation---Exercises:cd0037-API-Development-and-Documentation-exercises-master/1_Requests_Review/frontend/src/App.js		MAIN	{startLine=21.0, endLine=21.0, startOffset=47.0, endOffset=51.0}	0min	AYa0f7dv1m6JgciZ22jn	9e79ead045f7ccebc5b40b29843ada56	OPEN
MINOR	2023-03-06T01:18:10+0000		28.0		javascript:S3626	API-Development-and-Documentation---Exercises	1min		Remove this redundant jump.	2023-03-06T01:18:10+0000	CODE_SMELL	true	"clumsy / redundant / "	API-Development-and-Documentation---Exercises:cd0037-API-Development-and-Documentation-exercises-master/1_Requests_Review/frontend/src/App.js		MAIN	{startLine=28.0, endLine=28.0, startOffset=8.0, endOffset=15.0}	1min	AYa0f7dv1m6JgciZ22jo	505b97969baa28c3f607a38ee02f4f2d	OPEN
MINOR	2023-03-06T01:18:10+0000		32.0		javascript:S3626	API-Development-and-Documentation---Exercises	1min		Remove this redundant jump.	2023-03-06T01:18:10+0000	CODE_SMELL	true	"clumsy / redundant / "	API-Development-and-Documentation---Exercises:cd0037-API-Development-and-Documentation-exercises-master/1_Requests_Review/frontend/src/App.js		MAIN	{startLine=32.0, endLine=32.0, startOffset=8.0, endOffset=15.0}	1min	AYa0f7dv1m6JgciZ22jp	505b97969baa28c3f607a38ee02f4f2d	OPEN
INFO	2023-03-06T01:18:10+0000		40.0		javascript:S1135	API-Development-and-Documentation---Exercises	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T01:18:10+0000	CODE_SMELL	false	"cwe / "	API-Development-and-Documentation---Exercises:cd0037-API-Development-and-Documentation-exercises-master/1_Requests_Review/frontend/src/App.js		MAIN	{startLine=40.0, endLine=40.0, startOffset=31.0, endOffset=35.0}	0min	AYa0f7dv1m6JgciZ22jq	ab2b7a7acb33c991ba223edfb2b351fc	OPEN
MINOR	2023-03-06T01:18:10+0000		47.0		javascript:S3626	API-Development-and-Documentation---Exercises	1min		Remove this redundant jump.	2023-03-06T01:18:10+0000	CODE_SMELL	true	"clumsy / redundant / "	API-Development-and-Documentation---Exercises:cd0037-API-Development-and-Documentation-exercises-master/1_Requests_Review/frontend/src/App.js		MAIN	{startLine=47.0, endLine=47.0, startOffset=10.0, endOffset=17.0}	1min	AYa0f7dv1m6JgciZ22jr	505b97969baa28c3f607a38ee02f4f2d	OPEN
INFO	2023-03-06T01:18:10+0000		58.0		javascript:S1135	API-Development-and-Documentation---Exercises	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T01:18:10+0000	CODE_SMELL	false	"cwe / "	API-Development-and-Documentation---Exercises:cd0037-API-Development-and-Documentation-exercises-master/1_Requests_Review/frontend/src/App.js		MAIN	{startLine=58.0, endLine=58.0, startOffset=29.0, endOffset=33.0}	0min	AYa0f7dv1m6JgciZ22js	ab2b7a7acb33c991ba223edfb2b351fc	OPEN
MINOR	2023-03-06T01:18:10+0000		69.0		javascript:S3626	API-Development-and-Documentation---Exercises	1min		Remove this redundant jump.	2023-03-06T01:18:10+0000	CODE_SMELL	true	"clumsy / redundant / "	API-Development-and-Documentation---Exercises:cd0037-API-Development-and-Documentation-exercises-master/1_Requests_Review/frontend/src/App.js		MAIN	{startLine=69.0, endLine=69.0, startOffset=8.0, endOffset=15.0}	1min	AYa0f7dv1m6JgciZ22jt	505b97969baa28c3f607a38ee02f4f2d	OPEN
INFO	2023-03-06T01:18:10+0000		76.0		javascript:S1135	API-Development-and-Documentation---Exercises	0min		"Complete the task associated to this ""TODO"" comment."	2023-03-06T01:18:10+0000	CODE_SMELL	false	"cwe / "	API-Development-and-Documentation---Exercises:cd0037-API-Development-and-Documentation-exercises-master/1_Requests_Review/frontend/src/App.js		MAIN	{startLine=76.0, endLine=76.0, startOffset=23.0, endOffset=27.0}	0min	AYa0f7dv1m6JgciZ22ju	d1a37525d1a598d5b63fa69cbc18785d	OPEN
