severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
INFO	2023-03-07T02:54:15+0000		47.0		java:S1133	Agilidade-e-TDD:-um-dia-no-desenvolvimento-de-software	2min		Deprecated code should be removed	2023-03-07T02:54:15+0000	CODE_SMELL	true	cwe / serialization / 	Agilidade-e-TDD:-um-dia-no-desenvolvimento-de-software:		MAIN	{startLine=17.0, endLine=17.0, startOffset=44.0, endOffset=59.0}	2min	AYa5_c9S1m6JgciZ3N_g	505b97969baa28c3f607a38ee02f4f2d	OPEN
MAJOR	2023-03-07T02:54:15+0000		90.0		java:S4288	Agilidade-e-TDD:-um-dia-no-desenvolvimento-de-software	2min		Spring components should use constructor injection	2023-03-07T02:54:15+0000	CODE_SMELL	false	design / spring /	Agilidade-e-TDD:-um-dia-no-desenvolvimento-de-software:		MAIN	{startLine=16.0, endLine=16.0, startOffset=4.0, endOffset=27.0}	2min	AYa5_c9S1m6JgciZ3N_d	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
BLOCKER	2023-03-07T02:54:15+0000		3.0		java:S3046	Agilidade-e-TDD:-um-dia-no-desenvolvimento-de-software	30min		"""wait"" should not be called when multiple locks are held"	2023-03-07T02:54:15+0000	BUG	false	confusing / 	Agilidade-e-TDD:-um-dia-no-desenvolvimento-de-software:		MAIN	{startLine=28.0, endLine=28.0, startOffset=4.0, endOffset=26.0}	30min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
MAJOR	2023-03-07T02:54:15+0000		191.0		java:S3065	Agilidade-e-TDD:-um-dia-no-desenvolvimento-de-software	10min		Min and max used in combination should not always return the same value	2023-03-07T02:54:15+0000	BUG	false	cwe / serialization / 	Agilidade-e-TDD:-um-dia-no-desenvolvimento-de-software:		MAIN	{startLine=50.0, endLine=50.0, startOffset=4.0, endOffset=27.0}	10min	AYa5_c9L1m6JgciZ3N_V	59e16bd07bfca93c81ff6725b3ee446d	OPEN
MAJOR	2023-03-07T02:54:15+0000		24.0		java:S108	Agilidade-e-TDD:-um-dia-no-desenvolvimento-de-software	5min		Nested blocks of code should not be left empty	2023-03-07T02:54:15+0000	CODE_SMELL	false	suspicious /	Agilidade-e-TDD:-um-dia-no-desenvolvimento-de-software:		MAIN	{startLine=50.0, endLine=50.0, startOffset=4.0, endOffset=27.0}	5min	AYa5_c9S1m6JgciZ3N_h	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MAJOR	2023-03-07T02:54:15+0000		35.0		java:S453	Agilidade-e-TDD:-um-dia-no-desenvolvimento-de-software	10min		Standard functional interfaces should not be redefined	2023-03-07T02:54:15+0000	CODE_SMELL	true	java8 /	Agilidade-e-TDD:-um-dia-no-desenvolvimento-de-software:		MAIN	{startLine=68.0, endLine=68.0, startOffset=4.0, endOffset=27.0}	10min	AYa5_c9S1m6JgciZ3N_i	0706e1a232b0dd8f48516487e4b1e7c8	OPEN
MINOR	2023-03-07T02:54:15+0000		5.0		java:S113	Agilidade-e-TDD:-um-dia-no-desenvolvimento-de-software	1min		Files should contain an empty newline at the end	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / confusing /	Agilidade-e-TDD:-um-dia-no-desenvolvimento-de-software:		MAIN	{startLine=46.0, endLine=46.0, startOffset=4.0, endOffset=27.0}	1min	AYa5_c9L1m6JgciZ3N_X	9a570bb2e1042e418befd1c51c8489bf	OPEN
MAJOR	2023-03-07T02:54:15+0000		13.0		java:S3824	Agilidade-e-TDD:-um-dia-no-desenvolvimento-de-software	10min		"""Map.get"" and value test should be replaced with single method call"	2023-03-07T02:54:15+0000	CODE_SMELL	true	convention / cwe /	Agilidade-e-TDD:-um-dia-no-desenvolvimento-de-software:		MAIN	{startLine=47.0, endLine=47.0, startOffset=4.0, endOffset=27.0}	10min	AYa5_c9L1m6JgciZ3N_V	59e16bd07bfca93c81ff6725b3ee446d	OPEN
CRITICAL	2023-03-07T02:54:15+0000		28.0		java:S1541	Agilidade-e-TDD:-um-dia-no-desenvolvimento-de-software	20min		Methods should not be too complex	2023-03-07T02:54:15+0000	CODE_SMELL	true	cwe / confusing / redundant /	Agilidade-e-TDD:-um-dia-no-desenvolvimento-de-software:		MAIN	{startLine=11.0, endLine=11.0, startOffset=36.0, endOffset=85.0}	20min	AYa5_c9L1m6JgciZ3N_Y	59e16bd07bfca93c81ff6725b3ee446d	OPEN
MINOR	2023-03-07T02:54:15+0000		119.0		java:S117	Agilidade-e-TDD:-um-dia-no-desenvolvimento-de-software	2min		Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.	2023-03-07T02:54:15+0000	CODE_SMELL	false	convention / 	Agilidade-e-TDD:-um-dia-no-desenvolvimento-de-software:		MAIN	{startLine=119.0, endLine=119.0, startOffset=22.0, endOffset=26.0}	2min	AYa5_c9S1m6JgciZ3N_e	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
