severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2023-03-07T02:54:15+0000		17.0		java:S2057	Advanced-Android-App-Development---TeaTime	5min		"""Serializable"" classes should have a ""serialVersionUID"""	2023-03-07T02:54:15+0000	CODE_SMELL	true	cert / pitfall / serialization /	Advanced-Android-App-Development---TeaTime:		MAIN	{startLine=92.0, endLine=92.0, startOffset=8.0, endOffset=31.0}	5min	AYa5_c9S1m6JgciZ3N_d	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MINOR	2023-03-07T02:54:15+0000		38.0		java:S2094	Advanced-Android-App-Development---TeaTime	5min		Classes should not be empty	2023-03-07T02:54:15+0000	CODE_SMELL	true	convention / 	Advanced-Android-App-Development---TeaTime:		MAIN	{startLine=16.0, endLine=16.0, startOffset=57.0, endOffset=77.0}	5min	AYa5_c9S1m6JgciZ3N_i	0706e1a232b0dd8f48516487e4b1e7c8	OPEN
MAJOR	2023-03-07T02:54:15+0000		11.0		java:S2111	Advanced-Android-App-Development---TeaTime	5min		"""BigDecimal(double)"" should not be used"	2023-03-07T02:54:15+0000	CODE_SMELL	false	convention / 	Advanced-Android-App-Development---TeaTime:		MAIN	{startLine=17.0, endLine=17.0, startOffset=61.0, endOffset=81.0}	5min	AYa5_c9S1m6JgciZ3N_f	05e00ba2e3b1b0132d72daecc2c48ba5	OPEN
CRITICAL	2023-03-07T02:54:15+0000		5.0		java:S126	Advanced-Android-App-Development---TeaTime	5min		"""if ... else if"" constructs should end with ""else"" clauses"	2023-03-07T02:54:15+0000	CODE_SMELL	false	cert / pitfall / serialization /	Advanced-Android-App-Development---TeaTime:		MAIN	{startLine=34.0, endLine=34.0, startOffset=4.0, endOffset=27.0}	5min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
MINOR	2023-03-07T02:54:15+0000		16.0		java:S1264	Advanced-Android-App-Development---TeaTime	5min		"A ""while"" loop should be used instead of a ""for"" loop"	2023-03-07T02:54:15+0000	CODE_SMELL	false	performance /	Advanced-Android-App-Development---TeaTime:		MAIN	{startLine=28.0, endLine=28.0, startOffset=4.0, endOffset=105.0}	5min	AYa5_c9L1m6JgciZ3N_Y	59e16bd07bfca93c81ff6725b3ee446d	OPEN
MAJOR	2023-03-07T02:54:15+0000		36.0		java:S1144	Advanced-Android-App-Development---TeaTime	5min		"Unused ""private"" methods should be removed"	2023-03-07T02:54:15+0000	CODE_SMELL	false	unused /	Advanced-Android-App-Development---TeaTime:		MAIN	{startLine=39.0, endLine=39.0, startOffset=4.0, endOffset=105.0}	5min	AYa5_c9S1m6JgciZ3N_h	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MAJOR	2023-03-07T02:54:15+0000		50.0		java:S1068	Advanced-Android-App-Development---TeaTime	5min		"Unused ""private"" fields should be removed"	2023-03-07T02:54:15+0000	CODE_SMELL	false	unused /	Advanced-Android-App-Development---TeaTime:		MAIN	{startLine=52.0, endLine=52.0, startOffset=4.0, endOffset=105.0}	5min	AYa5_c9L1m6JgciZ3N_V	59e16bd07bfca93c81ff6725b3ee446d	OPEN
MAJOR	2023-03-07T02:54:15+0000		81.0		java:S1774	Advanced-Android-App-Development---TeaTime	5min		The ternary operator should not be used	2023-03-07T02:54:15+0000	CODE_SMELL	false	brain-overload /	Advanced-Android-App-Development---TeaTime:		MAIN	{startLine=65.0, endLine=65.0, startOffset=4.0, endOffset=76.0}	5min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
MAJOR	2023-03-07T02:54:15+0000		24.0		java:S108	Advanced-Android-App-Development---TeaTime	5min		Nested blocks of code should not be left empty	2023-03-07T02:54:15+0000	CODE_SMELL	false	suspicious /	Advanced-Android-App-Development---TeaTime:		MAIN	{startLine=50.0, endLine=50.0, startOffset=4.0, endOffset=27.0}	5min	AYa5_c9S1m6JgciZ3N_h	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MAJOR	2023-03-07T02:54:15+0000		16.0		java:S3740	Advanced-Android-App-Development---TeaTime	5min		Raw types should not be used	2023-03-07T02:54:15+0000	CODE_SMELL	true	pitfall /	Advanced-Android-App-Development---TeaTime:		MAIN	{startLine=24.0, endLine=24.0, startOffset=4.0, endOffset=27.0}	5min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
BLOCKER	2023-03-07T02:54:15+0000		17.0		java:S3014	Advanced-Android-App-Development---TeaTime	45min		"""ThreadGroup"" should not be used"	2023-03-07T02:54:15+0000	CODE_SMELL	false	cert / design / suspicious /	Advanced-Android-App-Development---TeaTime:		MAIN	{startLine=17.0, endLine=17.0, startOffset=4.0, endOffset=26.0}	45min	AYa5_c9L1m6JgciZ3N_W	7e34f357ac1a774ab51897f3a32497a1	OPEN
CRITICAL	2023-03-07T02:54:15+0000		26.0		java:S1948	Advanced-Android-App-Development---TeaTime	30min		"Make ""o"" transient or serializable."	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / serialization / 	Advanced-Android-App-Development---TeaTime:		MAIN	{startLine=26.0, endLine=26.0, startOffset=26.0, endOffset=27.0}	30min	AYa5_c9L1m6JgciZ3N_Z	d8c33e3749318eccd70fb56d6d64a13b	OPEN
MAJOR	2023-03-07T02:54:15+0000		7.0		java:S1171	Advanced-Android-App-Development---TeaTime	30min		Only static class initializers should be used	2023-03-07T02:54:15+0000	CODE_SMELL	true	cert / confusion /	Advanced-Android-App-Development---TeaTime:		MAIN	{startLine=90.0, endLine=90.0, startOffset=4.0, endOffset=27.0}	30min	AYa5_c9S1m6JgciZ3N_g	505b97969baa28c3f607a38ee02f4f2d	OPEN
CRITICAL	2023-03-07T02:54:15+0000		97.0		java:S2444	Advanced-Android-App-Development---TeaTime	30min		"Lazy initialization of ""static"" fields should be ""synchronized"""	2023-03-07T02:54:15+0000	CODE_SMELL	false	cert / error-handling / suspicious	Advanced-Android-App-Development---TeaTime:		MAIN	{startLine=97.0, endLine=97.0, startOffset=4.0, endOffset=119.0}	30min	AYa5_c9L1m6JgciZ3N_Z	d8c33e3749318eccd70fb56d6d64a13b	OPEN
CRITICAL	2023-03-07T02:54:15+0000		7.0		java:S1163	Advanced-Android-App-Development---TeaTime	30min		Exceptions should not be thrown in finally blocks	2023-03-07T02:54:15+0000	CODE_SMELL	false	cert / error-handling / suspicious	Advanced-Android-App-Development---TeaTime:		MAIN	{startLine=174.0, endLine=174.0, startOffset=73.0, endOffset=87.0}	30min	AYa5_c9L1m6JgciZ3N_a	701296c450e50f1fd792f80be633d3a5	OPEN
MINOR	2023-03-07T02:54:15+0000		119.0		java:S117	Advanced-Android-App-Development---TeaTime	2min		Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.	2023-03-07T02:54:15+0000	CODE_SMELL	false	convention / 	Advanced-Android-App-Development---TeaTime:		MAIN	{startLine=119.0, endLine=119.0, startOffset=16.0, endOffset=20.0}	2min	AYa5_c9S1m6JgciZ3N_d	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MINOR	2023-03-07T02:54:15+0000		119.0		java:S117	Advanced-Android-App-Development---TeaTime	2min		Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.	2023-03-07T02:54:15+0000	CODE_SMELL	false	convention / 	Advanced-Android-App-Development---TeaTime:		MAIN	{startLine=119.0, endLine=119.0, startOffset=22.0, endOffset=26.0}	2min	AYa5_c9S1m6JgciZ3N_e	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MINOR	2023-03-07T02:54:15+0000		119.0		java:S1659	Advanced-Android-App-Development---TeaTime	2min		"Declare ""ai_j"" on a separate line."	2023-03-07T02:54:15+0000	CODE_SMELL	true	cert / convention / 	Advanced-Android-App-Development---TeaTime:		MAIN	{startLine=119.0, endLine=119.0, startOffset=22.0, endOffset=26.0}	2min	AYa5_c9S1m6JgciZ3N_h	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MINOR	2023-03-07T02:54:15+0000		152.0		java:S1488	Advanced-Android-App-Development---TeaTime	2min		"Immediately return this expression instead of assigning it to the temporary variable ""result""."	2023-03-07T02:54:15+0000	CODE_SMELL	true	clumsy / 	Advanced-Android-App-Development---TeaTime:		MAIN	{startLine=152.0, endLine=152.0, startOffset=24.0, endOffset=30.0}	2min	AYa5_c9S1m6JgciZ3N_f	05e00ba2e3b1b0132d72daecc2c48ba5	OPEN
MINOR	2023-03-07T02:54:15+0000		92.0		java:S1698	Advanced-Android-App-Development---TeaTime	2min		"""=="" and ""!="" should not be used when ""equals"" is overridden"	2023-03-07T02:54:15+0000	CODE_SMELL	true	cert / cwe / suspicious /	Advanced-Android-App-Development---TeaTime:		MAIN	{startLine=131.0, endLine=111.0, startOffset=35.0, endOffset=41.0}	2min	AYa5_c9L1m6JgciZ3N_Y	59e16bd07bfca93c81ff6725b3ee446d	OPEN
MINOR	2023-03-07T02:54:15+0000		100.0		java:S1596	Advanced-Android-App-Development---TeaTime	2min		"""Collections.EMPTY_LIST"", ""EMPTY_MAP"", and ""EMPTY_SET"" should not be used"	2023-03-07T02:54:15+0000	CODE_SMELL	true	obsolete / pitfall /	Advanced-Android-App-Development---TeaTime:		MAIN	{startLine=25.0, endLine=25.0, startOffset=26.0, endOffset=27.0}	2min	AYa5_c9S1m6JgciZ3N_h	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MINOR	2023-03-07T02:54:15+0000		34.0		java:S3038	Advanced-Android-App-Development---TeaTime	2min		Abstract methods should not be redundant	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / confusing /	Advanced-Android-App-Development---TeaTime:		MAIN	{startLine=107.0, endLine=107.0, startOffset=8.0, endOffset=31.0}	2min	AYa5_c9S1m6JgciZ3N_h	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
INFO	2023-03-07T02:54:15+0000		47.0		java:S1133	Advanced-Android-App-Development---TeaTime	2min		Deprecated code should be removed	2023-03-07T02:54:15+0000	CODE_SMELL	true	cwe / serialization / 	Advanced-Android-App-Development---TeaTime:		MAIN	{startLine=17.0, endLine=17.0, startOffset=44.0, endOffset=59.0}	2min	AYa5_c9S1m6JgciZ3N_g	505b97969baa28c3f607a38ee02f4f2d	OPEN
MINOR	2023-03-07T02:54:15+0000		39.0		java:S1128	Advanced-Android-App-Development---TeaTime	2min		Unnecessary imports should be removed	2023-03-07T02:54:15+0000	CODE_SMELL	false	clumsy / redundant / 	Advanced-Android-App-Development---TeaTime:		MAIN	{startLine=5.0, endLine=5.0, startOffset=4.0, endOffset=24.0}	2min	AYa5_c9L1m6JgciZ3N_Z	d8c33e3749318eccd70fb56d6d64a13b	OPEN
MAJOR	2023-03-07T02:54:15+0000		68.0		java:S3935	Advanced-Android-App-Development---TeaTime	2min		"Unused ""private"" classes should be removed"	2023-03-07T02:54:15+0000	CODE_SMELL	true	unused /	Advanced-Android-App-Development---TeaTime:		MAIN	{startLine=61.0, endLine=61.0, startOffset=4.0, endOffset=105.0}	2min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
MAJOR	2023-03-07T02:54:15+0000		16.0		java:S3740	Advanced-Android-App-Development---TeaTime	5min		Raw types should not be used	2023-03-07T02:54:15+0000	CODE_SMELL	true	pitfall /	Advanced-Android-App-Development---TeaTime:		MAIN	{startLine=24.0, endLine=24.0, startOffset=4.0, endOffset=27.0}	5min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
BLOCKER	2023-03-07T02:54:15+0000		17.0		java:S3014	Advanced-Android-App-Development---TeaTime	45min		"""ThreadGroup"" should not be used"	2023-03-07T02:54:15+0000	CODE_SMELL	false	cert / design / suspicious /	Advanced-Android-App-Development---TeaTime:		MAIN	{startLine=17.0, endLine=17.0, startOffset=4.0, endOffset=26.0}	45min	AYa5_c9L1m6JgciZ3N_W	7e34f357ac1a774ab51897f3a32497a1	OPEN
CRITICAL	2023-03-07T02:54:15+0000		26.0		java:S1948	Advanced-Android-App-Development---TeaTime	30min		"Make ""o"" transient or serializable."	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / serialization / 	Advanced-Android-App-Development---TeaTime:		MAIN	{startLine=26.0, endLine=26.0, startOffset=26.0, endOffset=27.0}	30min	AYa5_c9L1m6JgciZ3N_Z	d8c33e3749318eccd70fb56d6d64a13b	OPEN
MAJOR	2023-03-07T02:54:15+0000		7.0		java:S1171	Advanced-Android-App-Development---TeaTime	30min		Only static class initializers should be used	2023-03-07T02:54:15+0000	CODE_SMELL	true	cert / confusion /	Advanced-Android-App-Development---TeaTime:		MAIN	{startLine=90.0, endLine=90.0, startOffset=4.0, endOffset=27.0}	30min	AYa5_c9S1m6JgciZ3N_g	505b97969baa28c3f607a38ee02f4f2d	OPEN
MAJOR	2023-03-07T02:54:15+0000		16.0		java:S3740	Advanced-Android-App-Development---TeaTime	5min		Raw types should not be used	2023-03-07T02:54:15+0000	CODE_SMELL	true	pitfall /	Advanced-Android-App-Development---TeaTime:		MAIN	{startLine=24.0, endLine=24.0, startOffset=4.0, endOffset=27.0}	5min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
