severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MAJOR	2023-03-07T02:54:15+0000		107.0		java:S1161	Java-e-java.util:-Cole-es-Wrappers-e-Lambda-expressions	5min		"""@Override"" should be used on overriding and implementing methods"	2023-03-07T02:54:15+0000	CODE_SMELL	false	bad-practice / 	Java-e-java.util:-Cole-es-Wrappers-e-Lambda-expressions:		MAIN	{startLine=24.0, endLine=24.0, startOffset=26.0, endOffset=30.0}	5min	AYa5_c9L1m6JgciZ3N_V	59e16bd07bfca93c81ff6725b3ee446d	OPEN
MAJOR	2023-03-07T02:54:15+0000		11.0		java:S2111	Java-e-java.util:-Cole-es-Wrappers-e-Lambda-expressions	5min		"""BigDecimal(double)"" should not be used"	2023-03-07T02:54:15+0000	CODE_SMELL	false	convention / 	Java-e-java.util:-Cole-es-Wrappers-e-Lambda-expressions:		MAIN	{startLine=17.0, endLine=17.0, startOffset=61.0, endOffset=81.0}	5min	AYa5_c9S1m6JgciZ3N_f	05e00ba2e3b1b0132d72daecc2c48ba5	OPEN
CRITICAL	2023-03-07T02:54:15+0000		25.0		java:S1948	Java-e-java.util:-Cole-es-Wrappers-e-Lambda-expressions	30min		"Make ""x"" transient or serializable."	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / serialization / 	Java-e-java.util:-Cole-es-Wrappers-e-Lambda-expressions:		MAIN	{startLine=25.0, endLine=25.0, startOffset=26.0, endOffset=27.0}	30min	AYa5_c9L1m6JgciZ3N_Y	59e16bd07bfca93c81ff6725b3ee446d	OPEN
CRITICAL	2023-03-07T02:54:15+0000		26.0		java:S1948	Java-e-java.util:-Cole-es-Wrappers-e-Lambda-expressions	30min		"Make ""o"" transient or serializable."	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / serialization / 	Java-e-java.util:-Cole-es-Wrappers-e-Lambda-expressions:		MAIN	{startLine=26.0, endLine=26.0, startOffset=26.0, endOffset=27.0}	30min	AYa5_c9L1m6JgciZ3N_Z	d8c33e3749318eccd70fb56d6d64a13b	OPEN
MAJOR	2023-03-07T02:54:15+0000		27.0		java:S3457	Java-e-java.util:-Cole-es-Wrappers-e-Lambda-expressions	10min		Printf-style format strings should be used correctly	2023-03-07T02:54:15+0000	CODE_SMELL	false	bad-practice /	Java-e-java.util:-Cole-es-Wrappers-e-Lambda-expressions:		MAIN	{startLine=103.0, endLine=103.0, startOffset=4.0, endOffset=27.0}	10min	AYa5_c9S1m6JgciZ3N_f	05e00ba2e3b1b0132d72daecc2c48ba5	OPEN
MINOR	2023-03-07T02:54:15+0000		5.0		java:S113	Java-e-java.util:-Cole-es-Wrappers-e-Lambda-expressions	1min		Files should contain an empty newline at the end	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / confusing /	Java-e-java.util:-Cole-es-Wrappers-e-Lambda-expressions:		MAIN	{startLine=46.0, endLine=46.0, startOffset=4.0, endOffset=27.0}	1min	AYa5_c9L1m6JgciZ3N_X	9a570bb2e1042e418befd1c51c8489bf	OPEN
CRITICAL	2023-03-07T02:54:15+0000		52.0		java:S2479	Java-e-java.util:-Cole-es-Wrappers-e-Lambda-expressions	10min		Whitespace and control characters in literals should be explicit	2023-03-07T02:54:15+0000	CODE_SMELL	false	clumsy / unused /	Java-e-java.util:-Cole-es-Wrappers-e-Lambda-expressions:		MAIN	{startLine=9.0, endLine=9.0, startOffset=4.0, endOffset=24.0}	10min	AYa5_c9L1m6JgciZ3N_a	701296c450e50f1fd792f80be633d3a5	OPEN
CRITICAL	2023-03-07T02:54:15+0000		63.0		java:S3937	Java-e-java.util:-Cole-es-Wrappers-e-Lambda-expressions	10min		Number patterns should be regular	2023-03-07T02:54:15+0000	CODE_SMELL	true	suspicious /	Java-e-java.util:-Cole-es-Wrappers-e-Lambda-expressions:		MAIN	{startLine=63.0, endLine=63.0, startOffset=8.0, endOffset=58.0}	10min	AYa5_c9L1m6JgciZ3N_Y	59e16bd07bfca93c81ff6725b3ee446d	OPEN
CRITICAL	2023-03-07T02:54:15+0000		38.0		java:S4601	Java-e-java.util:-Cole-es-Wrappers-e-Lambda-expressions	10min		"""HttpSecurity"" URL patterns should be correctly ordered"	2023-03-07T02:54:15+0000	VULNERABILITY	true	owasp-a6 / spring	Java-e-java.util:-Cole-es-Wrappers-e-Lambda-expressions:		MAIN	{startLine=47.0, endLine=47.0, startOffset=4.0, endOffset=27.0}	10min	AYa5_c9S1m6JgciZ3N_d	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MAJOR	2023-03-07T02:54:15+0000		8.0		java:S2111	Java-e-java.util:-Cole-es-Wrappers-e-Lambda-expressions	10min		"""BigDecimal(double)"" should not be used"	2023-03-07T02:54:15+0000	BUG	false	clumsy / unused /	Java-e-java.util:-Cole-es-Wrappers-e-Lambda-expressions:		MAIN	{startLine=65.0, endLine=65.0, startOffset=4.0, endOffset=76.0}	10min	AYa5_c9L1m6JgciZ3N_V	59e16bd07bfca93c81ff6725b3ee446d	OPEN
