severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MAJOR	2023-03-06T01:58:02+0000		34.0		python:S3699	Value-based-Methods-course	5min		"Remove this use of the output from ""seed""; ""seed"" doesn’t return anything."	2023-03-06T01:58:02+0000	BUG	false		Value-based-Methods-course:Value-based-methods-main/dqn/exercise/dqn_agent.py		MAIN	{startLine=34.0, endLine=34.0, startOffset=20.0, endOffset=37.0}	5min	AYa0pA351m6JgciZ3Bvq	bba9a3fc5073e7703ff2d848868796f4	OPEN
MAJOR	2023-03-06T01:58:02+0000		78.0		python:S1172	Value-based-Methods-course	5min		"Remove the unused function parameter ""gamma""."	2023-03-06T01:58:02+0000	CODE_SMELL	false	"unused / "	Value-based-Methods-course:Value-based-methods-main/dqn/exercise/dqn_agent.py		MAIN	{startLine=78.0, endLine=78.0, startOffset=33.0, endOffset=38.0}	5min	AYa0pA351m6JgciZ3Bvt	38708426d7df00e8e0d5079420a7c41a	OPEN
MAJOR	2023-03-06T01:58:02+0000		125.0		python:S3699	Value-based-Methods-course	5min		"Remove this use of the output from ""seed""; ""seed"" doesn’t return anything."	2023-03-06T01:58:02+0000	BUG	false		Value-based-Methods-course:Value-based-methods-main/dqn/exercise/dqn_agent.py		MAIN	{startLine=125.0, endLine=125.0, startOffset=20.0, endOffset=37.0}	5min	AYa0pA351m6JgciZ3Bvu	bba9a3fc5073e7703ff2d848868796f4	OPEN
MAJOR	2023-03-06T01:58:02+0000		34.0		python:S3699	Value-based-Methods-course	5min		"Remove this use of the output from ""seed""; ""seed"" doesn’t return anything."	2023-03-06T01:58:02+0000	BUG	false		Value-based-Methods-course:Value-based-methods-main/dqn/solution/dqn_agent.py		MAIN	{startLine=34.0, endLine=34.0, startOffset=20.0, endOffset=37.0}	5min	AYa0pA391m6JgciZ3Bvw	bba9a3fc5073e7703ff2d848868796f4	OPEN
MINOR	2023-03-06T01:58:02+0000		89.0		python:S117	Value-based-Methods-course	2min		"Rename this local variable ""Q_targets_next"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-03-06T01:58:02+0000	CODE_SMELL	false	"convention / "	Value-based-Methods-course:Value-based-methods-main/dqn/solution/dqn_agent.py		MAIN	{startLine=89.0, endLine=89.0, startOffset=8.0, endOffset=22.0}	2min	AYa0pA391m6JgciZ3Bv1	bdc9b2062e4cfdc651e74a6e1f847bf4	OPEN
MINOR	2023-03-06T01:58:02+0000		91.0		python:S117	Value-based-Methods-course	2min		"Rename this local variable ""Q_targets"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-03-06T01:58:02+0000	CODE_SMELL	false	"convention / "	Value-based-Methods-course:Value-based-methods-main/dqn/solution/dqn_agent.py		MAIN	{startLine=91.0, endLine=91.0, startOffset=8.0, endOffset=17.0}	2min	AYa0pA391m6JgciZ3Bv0	b2fb279d23280d632db4a6e483a85678	OPEN
MINOR	2023-03-06T01:58:02+0000		94.0		python:S117	Value-based-Methods-course	2min		"Rename this local variable ""Q_expected"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-03-06T01:58:02+0000	CODE_SMELL	false	"convention / "	Value-based-Methods-course:Value-based-methods-main/dqn/solution/dqn_agent.py		MAIN	{startLine=94.0, endLine=94.0, startOffset=8.0, endOffset=18.0}	2min	AYa0pA391m6JgciZ3Bvz	dbfa054efc897b59eecb3ea9d908d07c	OPEN
MAJOR	2023-03-06T01:58:02+0000		137.0		python:S3699	Value-based-Methods-course	5min		"Remove this use of the output from ""seed""; ""seed"" doesn’t return anything."	2023-03-06T01:58:02+0000	BUG	false		Value-based-Methods-course:Value-based-methods-main/dqn/solution/dqn_agent.py		MAIN	{startLine=137.0, endLine=137.0, startOffset=20.0, endOffset=37.0}	5min	AYa0pA391m6JgciZ3Bv2	bba9a3fc5073e7703ff2d848868796f4	OPEN
CRITICAL	2023-03-06T01:58:02+0000		164.0		python:S1192	Value-based-Methods-course	6min		Define a constant instead of duplicating this literal 'communicator_objects.unity_rl_input_pb2' 3 times.	2023-03-06T01:58:02+0000	CODE_SMELL	false	"design / "	Value-based-Methods-course:Value-based-methods-main/python/communicator_objects/unity_rl_input_pb2.py	"{locations=[{component=Value-based-Methods-course:Value-based-methods-main/python/communicator_objects/unity_rl_input_pb2.py, textRange={startLine=171.0, endLine=171.0, startOffset=17.0, endOffset=58.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Value-based-Methods-course:Value-based-methods-main/python/communicator_objects/unity_rl_input_pb2.py, textRange={startLine=176.0, endLine=176.0, startOffset=15.0, endOffset=56.0}, msg=Duplication, msgFormattings=[]}]} / "	MAIN	{startLine=164.0, endLine=164.0, startOffset=17.0, endOffset=58.0}	6min	AYa0pA4G1m6JgciZ3Bv5	a8e9b9755905c50b185def4dcd460a8a	OPEN
CRITICAL	2023-03-06T01:58:02+0000		146.0		python:S1192	Value-based-Methods-course	6min		Define a constant instead of duplicating this literal 'communicator_objects.unity_rl_output_pb2' 3 times.	2023-03-06T01:58:02+0000	CODE_SMELL	false	"design / "	Value-based-Methods-course:Value-based-methods-main/python/communicator_objects/unity_rl_output_pb2.py	"{locations=[{component=Value-based-Methods-course:Value-based-methods-main/python/communicator_objects/unity_rl_output_pb2.py, textRange={startLine=153.0, endLine=153.0, startOffset=17.0, endOffset=59.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Value-based-Methods-course:Value-based-methods-main/python/communicator_objects/unity_rl_output_pb2.py, textRange={startLine=158.0, endLine=158.0, startOffset=15.0, endOffset=57.0}, msg=Duplication, msgFormattings=[]}]} / "	MAIN	{startLine=146.0, endLine=146.0, startOffset=17.0, endOffset=59.0}	6min	AYa0pA4D1m6JgciZ3Bv4	72a26854e721e260527643e1d122fcc0	OPEN
