severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2023-03-06T02:12:05+0000		23.0		python:S1192	Message-Passing-Exercises	6min		Define a constant instead of duplicating this literal 'http://localhost:3000' 3 times.	2023-03-06T02:12:05+0000	CODE_SMELL	false	"design / "	Message-Passing-Exercises:nd064-c2-message-passing-exercises-master/lesson-1-refactoring-from-a-monolith/udacredit-monolith-starter/api/app.py	"{locations=[{component=Message-Passing-Exercises:nd064-c2-message-passing-exercises-master/lesson-1-refactoring-from-a-monolith/udacredit-monolith-starter/api/app.py, textRange={startLine=38.0, endLine=38.0, startOffset=54.0, endOffset=77.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Message-Passing-Exercises:nd064-c2-message-passing-exercises-master/lesson-1-refactoring-from-a-monolith/udacredit-monolith-starter/api/app.py, textRange={startLine=57.0, endLine=57.0, startOffset=54.0, endOffset=77.0}, msg=Duplication, msgFormattings=[]}]} / "	MAIN	{startLine=23.0, endLine=23.0, startOffset=54.0, endOffset=77.0}	6min	AYa0sO1V1m6JgciZ3KcB	0f319f79bc1def7bfaeb8a910515cdec	OPEN
CRITICAL	2023-03-06T02:12:05+0000		23.0		python:S1192	Message-Passing-Exercises	6min		Define a constant instead of duplicating this literal 'http://localhost:3000' 3 times.	2023-03-06T02:12:05+0000	CODE_SMELL	false	"design / "	Message-Passing-Exercises:nd064-c2-message-passing-exercises-master/lesson-1-refactoring-from-a-monolith/udacredit-monolith/api/app.py	"{locations=[{component=Message-Passing-Exercises:nd064-c2-message-passing-exercises-master/lesson-1-refactoring-from-a-monolith/udacredit-monolith/api/app.py, textRange={startLine=38.0, endLine=38.0, startOffset=54.0, endOffset=77.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Message-Passing-Exercises:nd064-c2-message-passing-exercises-master/lesson-1-refactoring-from-a-monolith/udacredit-monolith/api/app.py, textRange={startLine=57.0, endLine=57.0, startOffset=54.0, endOffset=77.0}, msg=Duplication, msgFormattings=[]}]} / "	MAIN	{startLine=23.0, endLine=23.0, startOffset=54.0, endOffset=77.0}	6min	AYa0sO051m6JgciZ3Kb2	0f319f79bc1def7bfaeb8a910515cdec	OPEN
MAJOR	2023-03-06T02:12:05+0000		36.0		python:S112	Message-Passing-Exercises	20min		Replace this generic exception class with a more specific one.	2023-03-06T02:12:05+0000	CODE_SMELL	false	"cwe / error-handling / "	Message-Passing-Exercises:nd064-c2-message-passing-exercises-master/lesson-3-implementing-message-passing/flask-demo/app.py		MAIN	{startLine=36.0, endLine=36.0, startOffset=14.0, endOffset=57.0}	20min	AYa0sO0h1m6JgciZ3Kbg	40aa1cc4a136da25f6c3c65abc675e66	OPEN
MINOR	2023-03-06T02:12:05+0000		17.0		python:S116	Message-Passing-Exercises	2min		"Rename this field ""Create"" to match the regular expression ^[_a-z][_a-z0-9]*$."	2023-03-06T02:12:05+0000	CODE_SMELL	false	"convention / "	Message-Passing-Exercises:nd064-c2-message-passing-exercises-master/lesson-3-implementing-message-passing/grpc-demo/item_pb2_grpc.py		MAIN	{startLine=17.0, endLine=17.0, startOffset=13.0, endOffset=19.0}	2min	AYa0sO0q1m6JgciZ3Kbk	5558a138efa5d1994a7325eec9ce9376	OPEN
MAJOR	2023-03-06T02:12:05+0000		27.0		python:S1172	Message-Passing-Exercises	5min		"Remove the unused function parameter ""request""."	2023-03-06T02:12:05+0000	CODE_SMELL	false	"unused / "	Message-Passing-Exercises:nd064-c2-message-passing-exercises-master/lesson-3-implementing-message-passing/grpc-demo/item_pb2_grpc.py		MAIN	{startLine=27.0, endLine=27.0, startOffset=21.0, endOffset=28.0}	5min	AYa0sO0q1m6JgciZ3Kbl	11b2a90ba480f11ad9a8f07ad23cf68a	OPEN
MINOR	2023-03-06T02:12:05+0000		27.0		python:S100	Message-Passing-Exercises	5min		"Rename method ""Create"" to match the regular expression ^[a-z_][a-z0-9_]*$."	2023-03-06T02:12:05+0000	CODE_SMELL	false	"convention / "	Message-Passing-Exercises:nd064-c2-message-passing-exercises-master/lesson-3-implementing-message-passing/grpc-demo/item_pb2_grpc.py		MAIN	{startLine=27.0, endLine=27.0, startOffset=8.0, endOffset=14.0}	5min	AYa0sO0q1m6JgciZ3Kbm	11b2a90ba480f11ad9a8f07ad23cf68a	OPEN
MAJOR	2023-03-06T02:12:05+0000		34.0		python:S1542	Message-Passing-Exercises	10min		"Rename function ""add_ItemServiceServicer_to_server"" to match the regular expression ^[a-z_][a-z0-9_]*$."	2023-03-06T02:12:05+0000	CODE_SMELL	false	"convention / "	Message-Passing-Exercises:nd064-c2-message-passing-exercises-master/lesson-3-implementing-message-passing/grpc-demo/item_pb2_grpc.py		MAIN	{startLine=34.0, endLine=34.0, startOffset=4.0, endOffset=37.0}	10min	AYa0sO0q1m6JgciZ3Kbn	f869a520bdd228f8cd209f2190fcc252	OPEN
MINOR	2023-03-06T02:12:05+0000		52.0		python:S100	Message-Passing-Exercises	5min		"Rename method ""Create"" to match the regular expression ^[a-z_][a-z0-9_]*$."	2023-03-06T02:12:05+0000	CODE_SMELL	false	"convention / "	Message-Passing-Exercises:nd064-c2-message-passing-exercises-master/lesson-3-implementing-message-passing/grpc-demo/item_pb2_grpc.py		MAIN	{startLine=52.0, endLine=52.0, startOffset=8.0, endOffset=14.0}	5min	AYa0sO0q1m6JgciZ3Kbo	8c1079718578e065f6769d0ea97c656a	OPEN
MINOR	2023-03-06T02:12:05+0000		17.0		python:S116	Message-Passing-Exercises	2min		"Rename this field ""Create"" to match the regular expression ^[_a-z][_a-z0-9]*$."	2023-03-06T02:12:05+0000	CODE_SMELL	false	"convention / "	Message-Passing-Exercises:nd064-c2-message-passing-exercises-master/lesson-3-implementing-message-passing/grpc-solution/order_pb2_grpc.py		MAIN	{startLine=17.0, endLine=17.0, startOffset=13.0, endOffset=19.0}	2min	AYa0sO0w1m6JgciZ3Kbq	5558a138efa5d1994a7325eec9ce9376	OPEN
MINOR	2023-03-06T02:12:05+0000		22.0		python:S116	Message-Passing-Exercises	2min		"Rename this field ""Get"" to match the regular expression ^[_a-z][_a-z0-9]*$."	2023-03-06T02:12:05+0000	CODE_SMELL	false	"convention / "	Message-Passing-Exercises:nd064-c2-message-passing-exercises-master/lesson-3-implementing-message-passing/grpc-solution/order_pb2_grpc.py		MAIN	{startLine=22.0, endLine=22.0, startOffset=13.0, endOffset=16.0}	2min	AYa0sO0w1m6JgciZ3Kbr	13c322ebf95780771dc41f6ab6cc1ffe	OPEN
