severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MINOR	2023-03-07T02:54:15+0000		92.0		java:S1698	Android-Developer-Nanodegree---Spotify-Web-Api-Wrapper	2min		"""=="" and ""!="" should not be used when ""equals"" is overridden"	2023-03-07T02:54:15+0000	CODE_SMELL	true	cert / cwe / suspicious /	Android-Developer-Nanodegree---Spotify-Web-Api-Wrapper:		MAIN	{startLine=131.0, endLine=111.0, startOffset=35.0, endOffset=41.0}	2min	AYa5_c9L1m6JgciZ3N_Y	59e16bd07bfca93c81ff6725b3ee446d	OPEN
MINOR	2023-03-07T02:54:15+0000		100.0		java:S1596	Android-Developer-Nanodegree---Spotify-Web-Api-Wrapper	2min		"""Collections.EMPTY_LIST"", ""EMPTY_MAP"", and ""EMPTY_SET"" should not be used"	2023-03-07T02:54:15+0000	CODE_SMELL	true	obsolete / pitfall /	Android-Developer-Nanodegree---Spotify-Web-Api-Wrapper:		MAIN	{startLine=25.0, endLine=25.0, startOffset=26.0, endOffset=27.0}	2min	AYa5_c9S1m6JgciZ3N_h	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MAJOR	2023-03-07T02:54:15+0000		107.0		java:S1161	Android-Developer-Nanodegree---Spotify-Web-Api-Wrapper	5min		"""@Override"" should be used on overriding and implementing methods"	2023-03-07T02:54:15+0000	CODE_SMELL	false	bad-practice / 	Android-Developer-Nanodegree---Spotify-Web-Api-Wrapper:		MAIN	{startLine=24.0, endLine=24.0, startOffset=26.0, endOffset=30.0}	5min	AYa5_c9L1m6JgciZ3N_V	59e16bd07bfca93c81ff6725b3ee446d	OPEN
MAJOR	2023-03-07T02:54:15+0000		16.0		java:S2864	Android-Developer-Nanodegree---Spotify-Web-Api-Wrapper	5min		"""entrySet()"" should be iterated when both the key and value are needed"	2023-03-07T02:54:15+0000	CODE_SMELL	true	performance /	Android-Developer-Nanodegree---Spotify-Web-Api-Wrapper:		MAIN	{startLine=20.0, endLine=20.0, startOffset=17.0, endOffset=21.0}	5min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
MAJOR	2023-03-07T02:54:15+0000		16.0		java:S1849	Android-Developer-Nanodegree---Spotify-Web-Api-Wrapper	20min		"""Iterator.hasNext()"" should not call ""Iterator.next()"""	2023-03-07T02:54:15+0000	CODE_SMELL	true	clumsy / redundant / 	Android-Developer-Nanodegree---Spotify-Web-Api-Wrapper:		MAIN	{startLine=20.0, endLine=20.0, startOffset=17.0, endOffset=21.0}	20min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
CRITICAL	2023-03-07T02:54:15+0000		17.0		java:S2057	Android-Developer-Nanodegree---Spotify-Web-Api-Wrapper	5min		"""Serializable"" classes should have a ""serialVersionUID"""	2023-03-07T02:54:15+0000	CODE_SMELL	true	cert / pitfall / serialization /	Android-Developer-Nanodegree---Spotify-Web-Api-Wrapper:		MAIN	{startLine=92.0, endLine=92.0, startOffset=8.0, endOffset=31.0}	5min	AYa5_c9S1m6JgciZ3N_d	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
CRITICAL	2023-03-07T02:54:15+0000		17.0		java:S4454	Android-Developer-Nanodegree---Spotify-Web-Api-Wrapper	3min		"""equals"" method parameters should not be marked ""@Nonnull"""	2023-03-07T02:54:15+0000	CODE_SMELL	false	bad-practice / cert / owasp-a3 / 	Android-Developer-Nanodegree---Spotify-Web-Api-Wrapper:		MAIN	{startLine=100.0, endLine=100.0, startOffset=8.0, endOffset=31.0}	3min	AYa5_c9S1m6JgciZ3N_e	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MINOR	2023-03-07T02:54:15+0000		34.0		java:S3038	Android-Developer-Nanodegree---Spotify-Web-Api-Wrapper	2min		Abstract methods should not be redundant	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / confusing /	Android-Developer-Nanodegree---Spotify-Web-Api-Wrapper:		MAIN	{startLine=107.0, endLine=107.0, startOffset=8.0, endOffset=31.0}	2min	AYa5_c9S1m6JgciZ3N_h	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MAJOR	2023-03-07T02:54:15+0000		16.0		java:S2864	Android-Developer-Nanodegree---Spotify-Web-Api-Wrapper	5min		"""entrySet()"" should be iterated when both the key and value are needed"	2023-03-07T02:54:15+0000	CODE_SMELL	true	performance /	Android-Developer-Nanodegree---Spotify-Web-Api-Wrapper:		MAIN	{startLine=20.0, endLine=20.0, startOffset=17.0, endOffset=21.0}	5min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
MAJOR	2023-03-07T02:54:15+0000		16.0		java:S1849	Android-Developer-Nanodegree---Spotify-Web-Api-Wrapper	20min		"""Iterator.hasNext()"" should not call ""Iterator.next()"""	2023-03-07T02:54:15+0000	CODE_SMELL	true	clumsy / redundant / 	Android-Developer-Nanodegree---Spotify-Web-Api-Wrapper:		MAIN	{startLine=20.0, endLine=20.0, startOffset=17.0, endOffset=21.0}	20min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
MINOR	2023-03-07T02:54:15+0000		34.0		java:S3038	Android-Developer-Nanodegree---Spotify-Web-Api-Wrapper	2min		Abstract methods should not be redundant	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / confusing /	Android-Developer-Nanodegree---Spotify-Web-Api-Wrapper:		MAIN	{startLine=107.0, endLine=107.0, startOffset=8.0, endOffset=31.0}	2min	AYa5_c9S1m6JgciZ3N_h	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MAJOR	2023-03-07T02:54:15+0000		107.0		java:S1161	Android-Developer-Nanodegree---Spotify-Web-Api-Wrapper	5min		"""@Override"" should be used on overriding and implementing methods"	2023-03-07T02:54:15+0000	CODE_SMELL	false	bad-practice / 	Android-Developer-Nanodegree---Spotify-Web-Api-Wrapper:		MAIN	{startLine=24.0, endLine=24.0, startOffset=26.0, endOffset=30.0}	5min	AYa5_c9L1m6JgciZ3N_V	59e16bd07bfca93c81ff6725b3ee446d	OPEN
MAJOR	2023-03-07T02:54:15+0000		16.0		java:S2864	Android-Developer-Nanodegree---Spotify-Web-Api-Wrapper	5min		"""entrySet()"" should be iterated when both the key and value are needed"	2023-03-07T02:54:15+0000	CODE_SMELL	true	performance /	Android-Developer-Nanodegree---Spotify-Web-Api-Wrapper:		MAIN	{startLine=20.0, endLine=20.0, startOffset=17.0, endOffset=21.0}	5min	AYa5_c9S1m6JgciZ3N_m	41968dbf5d291ae0328c04271922e099	OPEN
