severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MAJOR	2023-03-13T22:44:01+0000		103.0		Web:AvoidCommentedOutCodeCheck	Supply-chain-	5min		Remove this commented out code.	2023-03-13T22:44:01+0000	CODE_SMELL	false	"unused / "	Supply-chain-:index.html		MAIN	{startLine=103.0, endLine=103.0, startOffset=0.0, endOffset=51.0}	5min	AYbdJYlpIZYa0Rfl_fRP	3904745c407c2cb9aa6fe98b3a79b038	OPEN
MAJOR	2023-03-13T22:44:01+0000		4.0		css:S4649	Supply-chain-	1min		Unexpected missing generic font family	2023-03-13T22:44:01+0000	BUG	false		Supply-chain-:style.css		MAIN	{startLine=4.0, endLine=4.0, startOffset=0.0, endOffset=78.0}	1min	AYbdJYlYIZYa0Rfl_fRN	0e54af7b8ada89f9dcbe9ff28af524c8	OPEN
MAJOR	2023-03-13T22:44:01+0000		28.0		css:S4656	Supply-chain-	1min		"Unexpected duplicate ""background-color"""	2023-03-13T22:44:01+0000	BUG	false		Supply-chain-:style.css		MAIN	{startLine=28.0, endLine=28.0, startOffset=0.0, endOffset=30.0}	1min	AYbdJYlYIZYa0Rfl_fRK	303a458cb498c95614f09bb9c48171b0	OPEN
MAJOR	2023-03-13T22:44:01+0000		33.0		css:S4656	Supply-chain-	1min		"Unexpected duplicate ""cursor"""	2023-03-13T22:44:01+0000	BUG	false		Supply-chain-:style.css		MAIN	{startLine=33.0, endLine=33.0, startOffset=0.0, endOffset=20.0}	1min	AYbdJYlYIZYa0Rfl_fRL	58aba5753ba2c0975dc748f5e9dfad2a	OPEN
MAJOR	2023-03-13T22:44:01+0000		54.0		css:S4656	Supply-chain-	1min		"Unexpected duplicate ""background-color"""	2023-03-13T22:44:01+0000	BUG	false		Supply-chain-:style.css		MAIN	{startLine=54.0, endLine=54.0, startOffset=0.0, endOffset=28.0}	1min	AYbdJYlYIZYa0Rfl_fRM	323be72f193b4b088a174f5a0693f058	OPEN
BLOCKER	2023-03-13T22:44:01+0000		86.0		javascript:S2703	Supply-chain-	2min		"Add the ""let"", ""const"" or ""var"" keyword to this declaration of ""web3"" to make it explicit."	2023-03-06T01:07:21+0000	CODE_SMELL	false	"pitfall / "	Supply-chain-:src/js/app.js		MAIN	{startLine=86.0, endLine=86.0, startOffset=8.0, endOffset=12.0}	2min	AYa0ddV91m6JgciZ2xPc	8c6f9d8af1c1739cca24763662f498ac	OPEN
CRITICAL	2023-03-13T22:44:01+0000		102.0		javascript:S3504	Supply-chain-	5min		Unexpected var, use let or const instead.	2023-03-06T01:07:21+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Supply-chain-:src/js/app.js		MAIN	{startLine=102.0, endLine=102.0, startOffset=8.0, endOffset=27.0}	5min	AYa0ddV91m6JgciZ2xPd	b70d07ffe66915b984b6bfebb169e9bc	OPEN
CRITICAL	2023-03-13T22:44:01+0000		107.0		javascript:S3504	Supply-chain-	5min		Unexpected var, use let or const instead.	2023-03-06T01:07:21+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Supply-chain-:src/js/app.js		MAIN	{startLine=107.0, endLine=107.0, startOffset=12.0, endOffset=35.0}	5min	AYa0ddV91m6JgciZ2xPe	1b49323db401df505df3f3670175d65a	OPEN
CRITICAL	2023-03-13T22:44:01+0000		129.0		javascript:S3504	Supply-chain-	5min		Unexpected var, use let or const instead.	2023-03-06T01:07:21+0000	CODE_SMELL	true	"bad-practice / es2015 / "	Supply-chain-:src/js/app.js		MAIN	{startLine=129.0, endLine=129.0, startOffset=8.0, endOffset=21.0}	5min	AYa0ddV91m6JgciZ2xPf	1b4b8cea83b19969967c809b692c99f4	OPEN
MAJOR	2023-03-13T22:44:01+0000		135.0		javascript:S1763	Supply-chain-	5min		Unreachable code.	2023-03-06T01:07:21+0000	BUG	true	"cwe / unused / "	Supply-chain-:src/js/app.js		MAIN	{startLine=135.0, endLine=135.0, startOffset=16.0, endOffset=22.0}	5min	AYa0ddV91m6JgciZ2xPg	c2bef11d43d42a908d638b8e21336173	OPEN
