severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MAJOR	2023-03-06T02:01:04+0000		47.0		python:S1854	Google-App-Engine-Discourse-API-Client	15min		Remove this assignment to local variable 'response'; the value is never used.	2023-03-06T02:01:04+0000	CODE_SMELL	false	"cwe / unused / "	Google-App-Engine-Discourse-API-Client:gae-discourse-client-master/functional_tests/test_categories.py		MAIN	{startLine=47.0, endLine=50.0, startOffset=8.0, endOffset=22.0}	15min	AYa0psyq1m6JgciZ3EIz	8e43c06b9445399588a03c998952cce6	OPEN
CRITICAL	2023-03-06T02:01:04+0000		49.0		python:S1192	Google-App-Engine-Discourse-API-Client	6min		Define a constant instead of duplicating this literal 'Peyton Manning' 3 times.	2023-03-06T02:01:04+0000	CODE_SMELL	false	"design / "	Google-App-Engine-Discourse-API-Client:gae-discourse-client-master/functional_tests/test_groups.py	"{locations=[{component=Google-App-Engine-Discourse-API-Client:gae-discourse-client-master/functional_tests/test_groups.py, textRange={startLine=68.0, endLine=68.0, startOffset=17.0, endOffset=33.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Google-App-Engine-Discourse-API-Client:gae-discourse-client-master/functional_tests/test_groups.py, textRange={startLine=111.0, endLine=111.0, startOffset=17.0, endOffset=33.0}, msg=Duplication, msgFormattings=[]}]} / "	MAIN	{startLine=49.0, endLine=49.0, startOffset=17.0, endOffset=33.0}	6min	AYa0psym1m6JgciZ3EIg	ace4f45dd8ec0c01b9c8e574994b5671	OPEN
CRITICAL	2023-03-06T02:01:04+0000		50.0		python:S1192	Google-App-Engine-Discourse-API-Client	10min		Define a constant instead of duplicating this literal 'peyton@example.com' 5 times.	2023-03-06T02:01:04+0000	CODE_SMELL	false	"design / "	Google-App-Engine-Discourse-API-Client:gae-discourse-client-master/functional_tests/test_groups.py	"{locations=[{component=Google-App-Engine-Discourse-API-Client:gae-discourse-client-master/functional_tests/test_groups.py, textRange={startLine=56.0, endLine=56.0, startOffset=23.0, endOffset=43.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Google-App-Engine-Discourse-API-Client:gae-discourse-client-master/functional_tests/test_groups.py, textRange={startLine=69.0, endLine=69.0, startOffset=18.0, endOffset=38.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Google-App-Engine-Discourse-API-Client:gae-discourse-client-master/functional_tests/test_groups.py, textRange={startLine=80.0, endLine=80.0, startOffset=23.0, endOffset=43.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Google-App-Engine-Discourse-API-Client:gae-discourse-client-master/functional_tests/test_groups.py, textRange={startLine=112.0, endLine=112.0, startOffset=18.0, endOffset=38.0}, msg=Duplication, msgFormattings=[]}]} / "	MAIN	{startLine=50.0, endLine=50.0, startOffset=18.0, endOffset=38.0}	10min	AYa0psym1m6JgciZ3EIh	378be8085c2e1580cbcf7564c19a100e	OPEN
CRITICAL	2023-03-06T02:01:04+0000		51.0		python:S1192	Google-App-Engine-Discourse-API-Client	6min		Define a constant instead of duplicating this literal 'omaha, omaha' 3 times.	2023-03-06T02:01:04+0000	CODE_SMELL	false	"design / "	Google-App-Engine-Discourse-API-Client:gae-discourse-client-master/functional_tests/test_groups.py	"{locations=[{component=Google-App-Engine-Discourse-API-Client:gae-discourse-client-master/functional_tests/test_groups.py, textRange={startLine=70.0, endLine=70.0, startOffset=21.0, endOffset=35.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Google-App-Engine-Discourse-API-Client:gae-discourse-client-master/functional_tests/test_groups.py, textRange={startLine=113.0, endLine=113.0, startOffset=21.0, endOffset=35.0}, msg=Duplication, msgFormattings=[]}]} / "	MAIN	{startLine=51.0, endLine=51.0, startOffset=21.0, endOffset=35.0}	6min	AYa0psym1m6JgciZ3EIi	67ef3db3f463082a1691583fd2765d8c	OPEN
CRITICAL	2023-03-06T02:01:04+0000		133.0		python:S5754	Google-App-Engine-Discourse-API-Client	5min		Specify an exception class to catch or reraise the exception	2023-03-06T02:01:04+0000	CODE_SMELL	false	"bad-practice / error-handling / suspicious / "	Google-App-Engine-Discourse-API-Client:gae-discourse-client-master/functional_tests/test_groups.py		MAIN	{startLine=133.0, endLine=133.0, startOffset=8.0, endOffset=14.0}	5min	AYa0psym1m6JgciZ3EIn	3e264f5fbab10735799511f21ca70842	OPEN
MAJOR	2023-03-06T02:01:04+0000		27.0		python:S1854	Google-App-Engine-Discourse-API-Client	15min		Remove this assignment to local variable 'response'; the value is never used.	2023-03-06T02:01:04+0000	CODE_SMELL	false	"cwe / unused / "	Google-App-Engine-Discourse-API-Client:gae-discourse-client-master/functional_tests/test_users.py		MAIN	{startLine=27.0, endLine=32.0, startOffset=8.0, endOffset=22.0}	15min	AYa0psyo1m6JgciZ3EIt	f7c6b161847ad687f8fb02ec067b2b65	OPEN
CRITICAL	2023-03-06T02:01:04+0000		28.0		python:S1192	Google-App-Engine-Discourse-API-Client	6min		Define a constant instead of duplicating this literal 'Peyton Manning' 3 times.	2023-03-06T02:01:04+0000	CODE_SMELL	false	"design / "	Google-App-Engine-Discourse-API-Client:gae-discourse-client-master/functional_tests/test_users.py	"{locations=[{component=Google-App-Engine-Discourse-API-Client:gae-discourse-client-master/functional_tests/test_users.py, textRange={startLine=46.0, endLine=46.0, startOffset=17.0, endOffset=33.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Google-App-Engine-Discourse-API-Client:gae-discourse-client-master/functional_tests/test_users.py, textRange={startLine=56.0, endLine=56.0, startOffset=17.0, endOffset=33.0}, msg=Duplication, msgFormattings=[]}]} / "	MAIN	{startLine=28.0, endLine=28.0, startOffset=17.0, endOffset=33.0}	6min	AYa0psyo1m6JgciZ3EIq	ace4f45dd8ec0c01b9c8e574994b5671	OPEN
CRITICAL	2023-03-06T02:01:04+0000		29.0		python:S1192	Google-App-Engine-Discourse-API-Client	14min		Define a constant instead of duplicating this literal 'peyton@example.com' 7 times.	2023-03-06T02:01:04+0000	CODE_SMELL	false	"design / "	Google-App-Engine-Discourse-API-Client:gae-discourse-client-master/functional_tests/test_users.py	"{locations=[{component=Google-App-Engine-Discourse-API-Client:gae-discourse-client-master/functional_tests/test_users.py, textRange={startLine=35.0, endLine=35.0, startOffset=23.0, endOffset=43.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Google-App-Engine-Discourse-API-Client:gae-discourse-client-master/functional_tests/test_users.py, textRange={startLine=38.0, endLine=38.0, startOffset=49.0, endOffset=69.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Google-App-Engine-Discourse-API-Client:gae-discourse-client-master/functional_tests/test_users.py, textRange={startLine=43.0, endLine=43.0, startOffset=38.0, endOffset=58.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Google-App-Engine-Discourse-API-Client:gae-discourse-client-master/functional_tests/test_users.py, textRange={startLine=47.0, endLine=47.0, startOffset=18.0, endOffset=38.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Google-App-Engine-Discourse-API-Client:gae-discourse-client-master/functional_tests/test_users.py, textRange={startLine=57.0, endLine=57.0, startOffset=18.0, endOffset=38.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Google-App-Engine-Discourse-API-Client:gae-discourse-client-master/functional_tests/test_users.py, textRange={startLine=63.0, endLine=63.0, startOffset=23.0, endOffset=43.0}, msg=Duplication, msgFormattings=[]}]} / "	MAIN	{startLine=29.0, endLine=29.0, startOffset=18.0, endOffset=38.0}	14min	AYa0psyo1m6JgciZ3EIr	378be8085c2e1580cbcf7564c19a100e	OPEN
CRITICAL	2023-03-06T02:01:04+0000		30.0		python:S1192	Google-App-Engine-Discourse-API-Client	6min		Define a constant instead of duplicating this literal 'omaha, omaha' 3 times.	2023-03-06T02:01:04+0000	CODE_SMELL	false	"design / "	Google-App-Engine-Discourse-API-Client:gae-discourse-client-master/functional_tests/test_users.py	"{locations=[{component=Google-App-Engine-Discourse-API-Client:gae-discourse-client-master/functional_tests/test_users.py, textRange={startLine=48.0, endLine=48.0, startOffset=21.0, endOffset=35.0}, msg=Duplication, msgFormattings=[]}]} / {locations=[{component=Google-App-Engine-Discourse-API-Client:gae-discourse-client-master/functional_tests/test_users.py, textRange={startLine=58.0, endLine=58.0, startOffset=21.0, endOffset=35.0}, msg=Duplication, msgFormattings=[]}]} / "	MAIN	{startLine=30.0, endLine=30.0, startOffset=21.0, endOffset=35.0}	6min	AYa0psyo1m6JgciZ3EIs	67ef3db3f463082a1691583fd2765d8c	OPEN
MINOR	2023-03-06T02:01:04+0000		34.0		python:S1481	Google-App-Engine-Discourse-API-Client	5min		"Remove the unused local variable ""user""."	2023-03-06T02:01:04+0000	CODE_SMELL	false	"unused / "	Google-App-Engine-Discourse-API-Client:gae-discourse-client-master/functional_tests/test_users.py		MAIN	{startLine=34.0, endLine=34.0, startOffset=8.0, endOffset=12.0}	5min	AYa0psyo1m6JgciZ3EIu	78337788db0d96afee97c1b44cbb5bc5	OPEN
