severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
CRITICAL	2023-03-07T02:54:15+0000		97.0		java:S2444	Java-8:-conhe-a-as-novidades-dessa-vers-o	30min		"Lazy initialization of ""static"" fields should be ""synchronized"""	2023-03-07T02:54:15+0000	CODE_SMELL	false	cert / error-handling / suspicious	Java-8:-conhe-a-as-novidades-dessa-vers-o:		MAIN	{startLine=97.0, endLine=97.0, startOffset=4.0, endOffset=119.0}	30min	AYa5_c9L1m6JgciZ3N_Z	d8c33e3749318eccd70fb56d6d64a13b	OPEN
CRITICAL	2023-03-07T02:54:15+0000		20.0		java:S1948	Java-8:-conhe-a-as-novidades-dessa-vers-o	30min		"Make ""game"" transient or serializable."	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / serialization / 	Java-8:-conhe-a-as-novidades-dessa-vers-o:		MAIN	{startLine=20.0, endLine=20.0, startOffset=17.0, endOffset=21.0}	30min	AYa5_c9L1m6JgciZ3N_W	7e34f357ac1a774ab51897f3a32497a1	OPEN
CRITICAL	2023-03-07T02:54:15+0000		24.0		java:S1948	Java-8:-conhe-a-as-novidades-dessa-vers-o	30min		"Make ""grid"" transient or serializable."	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / serialization / 	Java-8:-conhe-a-as-novidades-dessa-vers-o:		MAIN	{startLine=24.0, endLine=24.0, startOffset=26.0, endOffset=30.0}	30min	AYa5_c9L1m6JgciZ3N_X	9a570bb2e1042e418befd1c51c8489bf	OPEN
CRITICAL	2023-03-07T02:54:15+0000		26.0		java:S1948	Java-8:-conhe-a-as-novidades-dessa-vers-o	30min		"Make ""o"" transient or serializable."	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / serialization / 	Java-8:-conhe-a-as-novidades-dessa-vers-o:		MAIN	{startLine=26.0, endLine=26.0, startOffset=26.0, endOffset=27.0}	30min	AYa5_c9L1m6JgciZ3N_Z	d8c33e3749318eccd70fb56d6d64a13b	OPEN
CRITICAL	2023-03-07T02:54:15+0000		25.0		java:S1948	Java-8:-conhe-a-as-novidades-dessa-vers-o	30min		"Make ""x"" transient or serializable."	2023-03-07T02:54:15+0000	CODE_SMELL	false	cwe / serialization / 	Java-8:-conhe-a-as-novidades-dessa-vers-o:		MAIN	{startLine=25.0, endLine=25.0, startOffset=26.0, endOffset=27.0}	30min	AYa5_c9L1m6JgciZ3N_Y	59e16bd07bfca93c81ff6725b3ee446d	OPEN
MAJOR	2023-03-07T02:54:15+0000		24.0		java:S108	Java-8:-conhe-a-as-novidades-dessa-vers-o	5min		Nested blocks of code should not be left empty	2023-03-07T02:54:15+0000	CODE_SMELL	false	suspicious /	Java-8:-conhe-a-as-novidades-dessa-vers-o:		MAIN	{startLine=50.0, endLine=50.0, startOffset=4.0, endOffset=27.0}	5min	AYa5_c9S1m6JgciZ3N_h	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MAJOR	2023-03-07T02:54:15+0000		27.0		java:S3457	Java-8:-conhe-a-as-novidades-dessa-vers-o	10min		Printf-style format strings should be used correctly	2023-03-07T02:54:15+0000	CODE_SMELL	false	bad-practice /	Java-8:-conhe-a-as-novidades-dessa-vers-o:		MAIN	{startLine=103.0, endLine=103.0, startOffset=4.0, endOffset=27.0}	10min	AYa5_c9S1m6JgciZ3N_f	05e00ba2e3b1b0132d72daecc2c48ba5	OPEN
MAJOR	2023-03-07T02:54:15+0000		48.0		java:S6019	Java-8:-conhe-a-as-novidades-dessa-vers-o	10min		Reluctant quantifiers in regular expressions should be followed by an expression that can't match the empty string	2023-03-07T02:54:15+0000	CODE_SMELL	false	pitfall /	Java-8:-conhe-a-as-novidades-dessa-vers-o:		MAIN	{startLine=81.0, endLine=81.0, startOffset=4.0, endOffset=27.0}	10min	AYa5_c9S1m6JgciZ3N_k	9d079256ebf5ff2be7df00f6589e50f2	OPEN
MINOR	2023-03-07T02:54:15+0000		139.0		java:S3626	Java-8:-conhe-a-as-novidades-dessa-vers-o	1min		Remove this redundant jump.	2023-03-07T02:54:15+0000	CODE_SMELL	false	clumsy / redundant / 	Java-8:-conhe-a-as-novidades-dessa-vers-o:		MAIN	{startLine=139.0, endLine=139.0, startOffset=8.0, endOffset=15.0}	1min	AYa5_c9S1m6JgciZ3N_g	505b97969baa28c3f607a38ee02f4f2d	OPEN
MINOR	2023-03-07T02:54:15+0000		157.0		java:S3626	Java-8:-conhe-a-as-novidades-dessa-vers-o	1min		Remove this redundant jump.	2023-03-07T02:54:15+0000	CODE_SMELL	false	clumsy / redundant / 	Java-8:-conhe-a-as-novidades-dessa-vers-o:		MAIN	{startLine=157.0, endLine=157.0, startOffset=12.0, endOffset=19.0}	1min	AYa5_c9L1m6JgciZ3N_c	505b97969baa28c3f607a38ee02f4f2d	OPEN
MINOR	2023-03-07T02:54:15+0000		119.0		java:S117	Java-8:-conhe-a-as-novidades-dessa-vers-o	2min		Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.	2023-03-07T02:54:15+0000	CODE_SMELL	false	convention / 	Java-8:-conhe-a-as-novidades-dessa-vers-o:		MAIN	{startLine=119.0, endLine=119.0, startOffset=16.0, endOffset=20.0}	2min	AYa5_c9S1m6JgciZ3N_d	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MINOR	2023-03-07T02:54:15+0000		119.0		java:S117	Java-8:-conhe-a-as-novidades-dessa-vers-o	2min		Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.	2023-03-07T02:54:15+0000	CODE_SMELL	false	convention / 	Java-8:-conhe-a-as-novidades-dessa-vers-o:		MAIN	{startLine=119.0, endLine=119.0, startOffset=22.0, endOffset=26.0}	2min	AYa5_c9S1m6JgciZ3N_e	d9cb36fab0d0e0f8e7fca1f9f52d2cca	OPEN
MAJOR	2023-03-07T02:54:15+0000		43.0		java:S106	Java-8:-conhe-a-as-novidades-dessa-vers-o	10min		Replace this use of System.out or System.err by a logger.	2023-03-07T02:54:15+0000	CODE_SMELL	false	bad-practice / cert / owasp-a3 / 	Java-8:-conhe-a-as-novidades-dessa-vers-o:		MAIN	{startLine=43.0, endLine=43.0, startOffset=12.0, endOffset=22.0}	10min	AYa5_c9L1m6JgciZ3N_a	701296c450e50f1fd792f80be633d3a5	OPEN
