severity	updateDate	comments	line	author	rule	project	effort	messageFormattings	message	creationDate	type	quickFixAvailable	tags	component	flows	scope	textRange	debt	key	hash	status
MAJOR	2023-03-06T02:10:46+0000		8.0		python:S1542	Fullstack-Nanodegree---Designing-RESTful-APIs	10min		"Rename function ""getRequestHello"" to match the regular expression ^[a-z_][a-z0-9_]*$."	2023-03-06T02:10:46+0000	CODE_SMELL	false	"convention / "	Fullstack-Nanodegree---Designing-RESTful-APIs:APIs-master/Lesson_2/06_Sending API Requests/api_server.py		MAIN	{startLine=8.0, endLine=8.0, startOffset=4.0, endOffset=19.0}	10min	AYa0r7hN1m6JgciZ3Inh	84cf2c9652dd490a396935538f8964d7	OPEN
MAJOR	2023-03-06T02:10:46+0000		13.0		python:S1542	Fullstack-Nanodegree---Designing-RESTful-APIs	10min		"Rename function ""postRequestHello"" to match the regular expression ^[a-z_][a-z0-9_]*$."	2023-03-06T02:10:46+0000	CODE_SMELL	false	"convention / "	Fullstack-Nanodegree---Designing-RESTful-APIs:APIs-master/Lesson_2/06_Sending API Requests/api_server.py		MAIN	{startLine=13.0, endLine=13.0, startOffset=4.0, endOffset=20.0}	10min	AYa0r7hN1m6JgciZ3Ini	28a9cc6c6a8aac8bb915739e69823792	OPEN
MAJOR	2023-03-06T02:10:46+0000		17.0		python:S1542	Fullstack-Nanodegree---Designing-RESTful-APIs	10min		"Rename function ""updateRequestHello"" to match the regular expression ^[a-z_][a-z0-9_]*$."	2023-03-06T02:10:46+0000	CODE_SMELL	false	"convention / "	Fullstack-Nanodegree---Designing-RESTful-APIs:APIs-master/Lesson_2/06_Sending API Requests/api_server.py		MAIN	{startLine=17.0, endLine=17.0, startOffset=4.0, endOffset=22.0}	10min	AYa0r7hN1m6JgciZ3Inj	4a4e190d3d950d3c8f6367031342e11b	OPEN
MAJOR	2023-03-06T02:10:46+0000		22.0		python:S1542	Fullstack-Nanodegree---Designing-RESTful-APIs	10min		"Rename function ""deleteRequestHello"" to match the regular expression ^[a-z_][a-z0-9_]*$."	2023-03-06T02:10:46+0000	CODE_SMELL	false	"convention / "	Fullstack-Nanodegree---Designing-RESTful-APIs:APIs-master/Lesson_2/06_Sending API Requests/api_server.py		MAIN	{startLine=22.0, endLine=22.0, startOffset=4.0, endOffset=22.0}	10min	AYa0r7hN1m6JgciZ3Ink	a93997b8420019732f299b60b7307e66	OPEN
MINOR	2023-03-06T02:10:46+0000		4.0		python:S117	Fullstack-Nanodegree---Designing-RESTful-APIs	2min		"Rename this parameter ""inputString"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-03-06T02:10:46+0000	CODE_SMELL	false	"convention / "	Fullstack-Nanodegree---Designing-RESTful-APIs:APIs-master/Lesson_2/10_Requesting from Python Code/geocode.py		MAIN	{startLine=4.0, endLine=4.0, startOffset=23.0, endOffset=34.0}	2min	AYa0r7hK1m6JgciZ3Ind	8b4a5302a0b895c52b76a788c8acf85f	OPEN
MAJOR	2023-03-06T02:10:46+0000		4.0		python:S1542	Fullstack-Nanodegree---Designing-RESTful-APIs	10min		"Rename function ""getGeocodeLocation"" to match the regular expression ^[a-z_][a-z0-9_]*$."	2023-03-06T02:10:46+0000	CODE_SMELL	false	"convention / "	Fullstack-Nanodegree---Designing-RESTful-APIs:APIs-master/Lesson_2/10_Requesting from Python Code/geocode.py		MAIN	{startLine=4.0, endLine=4.0, startOffset=4.0, endOffset=22.0}	10min	AYa0r7hK1m6JgciZ3Inf	8b4a5302a0b895c52b76a788c8acf85f	OPEN
MINOR	2023-03-06T02:10:46+0000		8.0		python:S117	Fullstack-Nanodegree---Designing-RESTful-APIs	2min		"Rename this local variable ""locationString"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-03-06T02:10:46+0000	CODE_SMELL	false	"convention / "	Fullstack-Nanodegree---Designing-RESTful-APIs:APIs-master/Lesson_2/10_Requesting from Python Code/geocode.py		MAIN	{startLine=8.0, endLine=8.0, startOffset=4.0, endOffset=18.0}	2min	AYa0r7hK1m6JgciZ3Ine	7becc1357c4fddb3b2f164b0838b04b4	OPEN
MINOR	2023-03-06T02:10:46+0000		14.0		python:S117	Fullstack-Nanodegree---Designing-RESTful-APIs	2min		"Rename this parameter ""mealType"" to match the regular expression ^[_a-z][a-z0-9_]*$."	2023-03-06T02:10:46+0000	CODE_SMELL	false	"convention / "	Fullstack-Nanodegree---Designing-RESTful-APIs:APIs-master/Lesson_2/12_Make_Your_Own_Mashup/solution_code/findARestaurant.py		MAIN	{startLine=14.0, endLine=14.0, startOffset=20.0, endOffset=28.0}	2min	AYa0r7hG1m6JgciZ3InR	e0776c0cf607908d6f74b579a187da05	OPEN
MAJOR	2023-03-06T02:10:46+0000		14.0		python:S1542	Fullstack-Nanodegree---Designing-RESTful-APIs	10min		"Rename function ""findARestaurant"" to match the regular expression ^[a-z_][a-z0-9_]*$."	2023-03-06T02:10:46+0000	CODE_SMELL	false	"convention / "	Fullstack-Nanodegree---Designing-RESTful-APIs:APIs-master/Lesson_2/12_Make_Your_Own_Mashup/solution_code/findARestaurant.py		MAIN	{startLine=14.0, endLine=14.0, startOffset=4.0, endOffset=19.0}	10min	AYa0r7hG1m6JgciZ3InT	e0776c0cf607908d6f74b579a187da05	OPEN
MAJOR	2023-03-06T02:10:46+0000		34.0		python:S1110	Fullstack-Nanodegree---Designing-RESTful-APIs	1min		Remove those useless parentheses.	2023-03-06T02:10:46+0000	CODE_SMELL	false	"confusing / "	Fullstack-Nanodegree---Designing-RESTful-APIs:APIs-master/Lesson_2/12_Make_Your_Own_Mashup/solution_code/findARestaurant.py	"{locations=[{component=Fullstack-Nanodegree---Designing-RESTful-APIs:APIs-master/Lesson_2/12_Make_Your_Own_Mashup/solution_code/findARestaurant.py, textRange={startLine=34.0, endLine=34.0, startOffset=158.0, endOffset=159.0}, msgFormattings=[]}]} / "	MAIN	{startLine=34.0, endLine=34.0, startOffset=101.0, endOffset=102.0}	1min	AYa0r7hG1m6JgciZ3InU	1417f053701c329bee07637e419baf91	OPEN
